,SeniorCitizen,tenure,MonthlyCharges,gender_1,Dependents_1,PhoneService_1,MultipleLines_1,InternetService_1,Contract_1,Contract_2,Churn_1
5914,0,20,24,0,0,0,0,0,0,0,1
1028,0,53,91,0,0,1,1,1,0,0,0
752,0,1,20,0,0,1,0,0,0,0,1
6027,0,10,99,1,0,1,1,0,0,1,0
6645,0,39,20,0,0,1,0,0,0,0,0
609,0,10,74,0,1,1,1,1,0,0,0
3945,0,65,74,1,0,1,0,0,0,0,0
2404,0,2,49,0,0,1,1,1,1,0,1
4197,0,52,20,1,0,1,1,1,0,0,0
5744,0,26,79,1,1,1,0,0,1,0,0
3841,1,19,80,1,0,1,1,1,0,0,1
6822,0,46,103,0,0,1,0,1,0,0,0
1426,0,71,81,0,0,1,1,1,1,0,0
3869,0,5,70,0,1,1,1,1,1,0,0
2270,0,56,20,0,1,1,0,1,0,0,0
2434,1,29,98,1,0,1,0,0,0,0,1
731,0,1,44,1,1,1,0,0,0,0,1
571,0,36,64,1,1,1,1,0,0,1,0
4951,0,10,51,0,0,1,1,1,0,0,0
4879,0,9,76,0,1,1,1,0,1,0,0
2967,0,29,86,1,0,1,1,1,0,1,0
1525,0,10,95,1,0,1,0,0,0,0,0
2319,0,37,63,1,1,1,0,1,0,0,0
2230,1,66,105,0,0,1,0,0,0,1,0
6949,1,72,85,1,0,1,0,0,1,0,0
3922,0,69,91,1,0,1,1,1,0,0,0
1008,0,1,45,0,0,1,1,1,0,0,1
6495,0,14,71,0,0,1,0,1,0,0,1
3583,0,38,20,0,0,1,0,0,1,0,0
5928,0,69,82,1,0,1,0,0,0,1,0
3116,0,38,24,0,0,1,0,1,1,0,0
2584,0,56,100,0,1,1,0,0,0,0,0
3471,0,1,91,1,0,1,0,0,1,0,1
5120,0,1,50,1,1,1,0,0,1,0,0
3981,0,1,45,0,0,1,1,1,0,0,1
3084,0,65,95,1,1,1,0,0,1,0,0
159,0,72,70,1,0,1,1,0,0,1,0
890,0,4,50,0,1,1,1,1,0,0,0
2842,0,29,94,1,0,1,0,0,0,0,0
2926,0,1,91,1,0,1,1,1,0,1,1
415,0,21,28,0,0,0,0,1,0,0,0
1267,1,69,111,1,0,1,1,0,0,1,0
888,0,4,92,0,0,1,0,1,1,0,1
588,0,1,60,1,0,1,1,1,0,1,1
4749,0,30,64,1,0,1,0,0,0,0,0
552,0,23,20,1,0,1,0,0,0,1,0
4396,0,1,69,0,0,1,0,0,0,0,1
6297,0,63,91,1,1,1,1,1,1,0,0
3557,1,6,45,1,0,1,0,0,0,0,0
6258,0,64,66,1,0,1,0,0,0,0,0
5342,0,67,90,1,1,1,0,0,0,0,0
3793,0,1,20,1,1,1,0,0,0,0,0
5953,0,54,105,1,0,1,0,0,0,0,1
1368,0,60,100,0,0,1,0,1,1,0,0
6715,0,12,78,0,1,1,1,1,0,0,1
490,0,12,50,0,0,0,1,1,0,1,0
1669,0,66,80,1,1,1,1,1,0,0,0
4761,0,15,25,1,1,1,1,0,0,1,0
3736,0,25,100,0,0,1,0,0,1,0,1
1466,0,4,21,1,0,1,0,0,0,0,0
1345,0,9,74,1,0,1,1,1,1,0,0
3594,0,19,70,1,0,1,0,0,0,0,0
855,0,3,20,1,1,1,1,1,1,0,0
795,1,3,75,0,0,1,0,0,0,0,0
6838,0,56,45,0,0,0,1,1,0,0,0
1012,1,66,108,0,0,1,0,1,0,0,0
6037,0,5,26,1,1,1,1,1,0,0,1
5548,0,3,20,0,0,1,1,0,0,1,0
713,0,2,20,0,0,1,1,1,0,0,0
404,0,30,81,0,1,1,0,0,0,1,0
1686,0,7,98,1,0,1,1,0,0,0,1
6716,0,45,25,0,1,1,1,1,0,0,0
2709,0,58,45,0,0,0,0,0,0,0,0
6608,0,17,103,1,0,1,0,0,1,0,0
3208,0,4,39,1,1,0,1,0,1,0,0
4493,1,64,109,0,0,1,1,0,0,1,0
6485,0,58,105,0,1,1,0,1,0,0,0
1892,0,64,111,0,0,1,0,0,0,0,0
3667,0,11,86,1,1,1,0,1,0,1,0
1435,1,8,92,0,0,1,1,1,0,0,1
5814,1,51,94,1,0,1,0,0,0,0,0
6068,0,10,20,1,0,1,0,0,0,0,0
4491,0,25,105,0,0,1,0,0,0,0,1
5898,0,51,83,1,0,1,1,0,1,0,0
2509,1,9,84,0,0,1,1,0,0,1,1
1994,1,44,110,0,0,1,0,0,1,0,0
1739,0,8,58,0,0,1,0,1,0,0,0
4968,0,8,20,1,0,1,0,0,0,1,0
2479,0,72,91,0,0,1,1,0,0,1,0
1694,0,6,21,0,0,1,0,0,0,0,0
4239,0,63,20,1,0,1,0,0,1,0,0
6039,0,26,81,0,0,1,0,0,0,0,0
2221,0,35,60,1,0,1,0,0,0,1,0
4466,0,3,54,0,0,1,0,1,0,0,0
4087,0,24,58,0,1,0,0,0,0,0,0
4543,0,24,78,0,1,1,0,0,1,0,0
6747,0,3,30,0,1,0,0,0,1,0,0
1085,0,5,104,1,0,1,0,1,0,0,1
3061,0,22,95,1,0,1,1,1,0,0,0
3318,0,29,79,0,0,1,0,0,0,0,1
1981,0,67,25,0,0,1,1,1,0,0,0
6493,1,30,102,1,0,1,0,0,1,0,0
4519,0,5,96,1,0,1,1,1,1,0,1
2800,0,70,25,0,1,1,0,0,0,0,0
3786,0,3,77,1,0,1,1,1,0,0,1
1255,0,45,87,0,0,1,0,0,0,0,1
6808,0,48,24,0,0,1,0,1,0,1,0
6957,0,9,75,0,0,1,0,1,0,0,1
3386,1,3,70,0,0,1,1,0,1,0,1
4240,1,45,99,1,0,1,1,1,0,0,0
5734,0,1,20,1,0,1,1,0,0,1,0
261,0,1,20,1,0,1,1,1,0,0,1
2167,0,48,105,0,0,1,1,1,0,0,0
6132,0,1,25,0,0,0,0,0,0,0,0
6640,0,72,20,1,1,1,0,0,1,0,0
2581,0,6,90,0,0,1,0,0,0,0,1
3712,0,64,100,1,0,1,0,0,1,0,0
2030,0,58,109,0,0,1,1,0,0,0,1
6755,0,1,74,0,0,1,1,1,0,0,1
5888,0,1,44,0,0,1,1,1,0,0,0
5736,1,3,77,1,0,1,0,0,0,0,1
5109,1,5,76,0,0,1,0,0,0,1,1
1083,1,1,45,0,0,1,0,1,0,0,1
6521,0,9,96,1,0,1,1,0,0,1,0
4656,0,12,94,0,0,1,1,1,0,0,1
4925,0,7,45,1,0,1,1,1,1,0,0
6001,0,49,39,1,1,0,0,0,0,0,0
946,0,67,100,0,1,1,0,0,0,0,0
4739,1,27,105,1,0,1,1,1,0,0,0
2765,0,16,70,1,0,1,0,1,0,0,0
5099,0,2,49,0,0,1,0,0,0,0,1
954,0,24,20,1,0,1,1,1,0,0,0
682,0,9,65,0,1,1,0,0,0,0,1
2690,0,50,70,0,1,1,0,1,0,0,0
1577,0,64,54,0,1,1,0,1,1,0,0
1491,0,5,105,1,0,1,0,0,0,0,0
2528,0,26,56,0,0,1,0,1,0,0,0
1269,1,18,85,0,0,1,1,1,0,1,0
3846,0,43,26,1,0,1,0,0,0,0,0
3680,0,12,77,0,1,1,0,0,0,0,0
3949,0,51,60,0,0,1,1,0,0,0,0
3176,0,3,21,1,0,1,1,0,0,1,1
5246,0,13,85,0,0,1,0,1,0,0,1
2519,0,2,20,1,1,1,1,1,0,0,0
6985,0,16,75,1,0,1,0,0,1,0,0
881,0,17,45,1,1,1,0,0,1,0,0
2419,0,14,45,1,0,1,0,0,1,0,0
3766,0,62,108,1,1,1,0,0,0,0,0
3613,0,10,60,1,0,1,0,0,1,0,0
1890,0,58,61,0,0,1,0,0,0,0,0
4849,0,46,79,0,0,1,0,0,1,0,0
1155,1,34,56,0,0,0,1,0,0,1,0
6159,0,13,20,0,0,1,0,0,1,0,0
767,1,10,35,1,1,0,0,0,1,0,0
1923,0,41,70,1,1,1,0,0,0,1,0
4411,0,32,19,0,0,1,0,0,0,0,0
4389,0,2,100,1,0,1,1,1,0,0,0
3656,0,49,75,1,1,1,0,0,0,1,1
3199,0,37,100,0,0,1,1,0,0,1,0
6826,0,21,62,1,0,1,0,0,0,0,0
5771,1,1,43,1,0,0,0,0,0,0,1
1881,0,69,104,1,0,1,0,0,0,0,1
5402,0,1,85,1,0,1,0,0,0,1,1
4795,1,3,91,1,0,1,0,0,1,0,1
6288,0,45,74,1,1,1,1,1,0,0,0
5998,0,4,61,1,1,1,0,0,0,1,1
6015,1,70,44,1,0,0,0,1,0,0,0
4488,0,72,113,1,1,1,0,1,0,0,0
5826,0,1,24,1,0,0,0,1,0,0,1
5146,1,16,70,1,0,1,1,1,0,0,0
6760,0,33,61,0,0,1,0,0,0,0,0
1173,1,1,50,1,1,1,0,0,0,0,1
296,0,16,20,0,1,1,0,1,0,1,0
2312,0,50,96,0,0,1,0,0,1,0,0
3332,1,70,105,1,0,1,0,0,0,0,0
4818,0,39,25,1,1,0,0,1,1,0,0
1908,0,45,101,1,0,1,0,0,0,1,1
2595,0,72,116,1,0,1,1,0,0,1,0
1485,0,3,35,1,0,0,1,1,0,0,0
3124,0,42,84,0,0,1,0,0,0,1,0
1419,1,21,69,1,0,1,0,0,0,1,1
4661,0,56,107,1,0,1,1,0,0,1,0
2239,0,9,95,1,0,1,0,0,0,1,1
1402,0,35,56,0,1,1,0,0,0,0,0
252,0,14,76,1,1,1,0,0,0,0,0
1794,0,66,104,1,0,1,1,0,0,1,1
5340,0,1,87,1,0,1,1,0,1,0,1
2576,0,4,20,1,0,1,0,1,0,0,0
2061,1,66,107,1,0,1,0,0,0,0,0
615,0,5,20,0,0,1,1,0,0,0,0
6636,0,22,100,1,1,1,1,0,1,0,0
114,0,41,20,0,0,1,0,0,0,1,0
2812,0,31,89,1,1,1,1,1,1,0,0
6652,0,32,86,0,1,1,0,0,0,1,0
5234,0,59,100,0,0,1,1,1,1,0,0
2094,0,32,104,0,0,1,0,0,0,0,0
1979,0,59,99,0,0,1,0,0,0,1,0
5210,0,67,69,1,1,1,0,0,1,0,0
63,1,72,103,1,0,1,0,0,1,0,0
4431,0,5,70,1,0,1,0,1,0,0,1
6329,0,16,55,1,0,1,0,1,0,1,0
5517,1,71,115,1,0,1,0,1,1,0,0
6255,0,8,75,1,0,1,1,1,1,0,0
4000,0,9,83,0,0,1,1,1,0,0,1
1741,0,20,76,0,1,1,1,0,0,0,0
1115,0,70,111,0,0,1,1,0,0,1,0
5634,0,1,45,1,0,1,0,0,0,0,1
2591,0,2,44,1,0,1,1,1,0,0,1
3783,0,15,46,0,0,0,1,1,0,0,0
4990,1,35,99,0,0,1,0,0,0,0,0
3819,0,64,104,0,1,1,0,0,1,0,0
460,0,2,19,0,0,1,0,0,0,0,0
1080,0,32,96,1,0,1,0,0,0,1,1
1721,0,22,55,0,0,1,0,1,0,0,0
6366,0,64,84,1,0,1,0,0,0,1,0
432,0,72,112,1,1,1,0,0,0,0,0
2599,0,52,20,0,1,1,0,0,0,1,0
3369,1,59,64,1,0,0,1,0,0,0,0
6655,0,24,51,1,0,0,1,0,0,1,0
254,0,20,89,0,0,1,0,0,0,0,0
6699,0,29,90,1,0,1,0,0,0,1,0
5101,0,51,94,0,0,1,1,1,0,0,0
6613,0,15,49,0,0,1,0,0,0,0,0
5500,0,31,79,1,1,1,0,0,0,1,1
1685,0,68,112,0,1,1,0,1,0,0,0
4738,0,70,65,0,0,1,1,1,0,0,1
3324,1,33,25,1,0,1,0,1,0,0,0
480,1,15,74,1,0,1,0,0,0,1,1
5554,0,50,35,1,0,0,0,0,0,1,0
2715,0,5,44,0,0,1,1,0,0,0,0
5732,0,7,63,0,0,1,0,1,0,0,0
4548,0,3,76,0,0,1,0,1,0,0,0
6551,0,68,83,1,1,1,0,1,1,0,0
3528,0,64,50,0,1,0,0,0,0,0,0
5473,0,12,34,0,0,0,0,0,0,0,0
6306,0,32,35,0,1,0,1,1,1,0,0
5203,1,12,73,1,0,1,0,0,0,0,0
2540,0,35,62,0,0,1,1,1,0,1,0
651,0,31,101,1,0,1,0,1,0,0,0
3938,0,5,94,0,0,1,0,0,0,0,1
4419,0,59,20,1,1,1,0,0,0,0,0
5261,0,1,70,1,1,1,1,1,0,1,1
5682,1,60,75,0,1,1,0,0,0,0,0
4786,0,22,57,1,0,0,1,1,0,1,0
702,0,19,49,0,1,1,1,1,0,0,0
6646,0,65,75,1,1,1,0,0,1,0,1
3481,0,41,70,0,0,1,1,0,0,0,1
3305,0,24,85,1,1,1,1,1,0,0,0
691,0,30,68,1,1,1,1,0,1,0,0
5904,0,46,94,1,0,1,1,1,1,0,1
5038,1,58,98,0,0,1,0,0,1,0,0
19,0,22,89,1,1,1,0,1,0,0,1
2569,0,7,55,1,0,1,1,0,0,1,0
5756,1,11,20,1,0,1,0,0,0,1,1
6819,0,3,74,1,0,1,1,1,0,0,0
3153,0,72,104,1,0,1,1,0,0,0,0
4772,1,71,20,1,1,1,0,0,1,0,0
5430,0,4,60,0,0,1,1,0,0,0,1
5650,0,1,20,0,0,1,0,0,1,0,0
3897,0,23,50,0,0,1,1,1,0,1,0
3601,0,54,100,0,0,1,0,0,0,0,1
6349,0,53,19,0,0,1,0,0,0,1,0
429,0,21,104,1,0,1,1,0,1,0,0
6885,0,72,98,0,0,1,1,1,0,0,0
6881,0,57,21,1,0,1,0,0,0,0,0
227,0,49,67,0,0,1,0,0,0,0,0
6474,0,53,107,0,0,1,0,0,0,1,1
3186,1,8,87,0,0,1,0,0,0,1,0
2120,0,26,45,1,0,0,0,0,0,1,0
1240,0,22,79,0,0,1,0,0,0,0,1
6902,0,71,25,0,0,1,1,0,1,0,0
7028,0,21,21,0,0,1,0,0,0,1,0
6623,0,48,103,0,1,1,1,1,0,0,1
2928,0,1,25,0,0,0,0,1,0,1,0
6238,0,53,99,0,0,1,1,1,0,0,0
4619,0,2,54,0,0,1,1,1,0,0,0
6915,0,35,61,1,0,1,1,1,0,1,0
5095,0,9,103,1,1,1,0,0,1,0,0
6510,0,51,30,1,0,0,1,1,0,1,0
4149,0,64,105,0,0,1,0,0,0,1,0
3087,1,71,108,1,0,1,1,1,0,0,0
5250,0,12,20,1,0,1,1,1,0,0,0
2108,0,1,70,0,0,1,0,0,0,0,1
2784,0,28,75,1,1,1,0,1,0,0,1
1550,0,55,84,0,0,1,1,1,0,0,0
1745,0,18,90,0,0,1,0,0,0,1,1
4840,0,65,25,1,0,1,0,0,0,0,0
3103,0,1,21,0,1,1,0,0,0,0,1
4561,0,49,19,0,1,1,1,0,0,0,0
994,1,1,75,1,0,1,0,0,0,1,0
5596,0,48,82,0,1,1,1,0,0,1,1
5379,0,23,74,0,0,1,1,1,1,0,0
745,0,3,20,1,1,1,1,1,0,1,0
1555,0,1,85,0,0,1,0,1,1,0,0
5645,0,21,46,1,1,1,1,0,1,0,0
7035,0,2,45,0,0,1,0,1,0,0,0
6631,1,4,95,0,0,1,1,0,0,0,1
2468,0,1,19,0,1,1,0,0,0,0,0
6425,0,10,21,0,0,1,0,0,1,0,0
3916,0,66,106,1,0,1,0,1,0,0,1
3288,1,13,97,0,0,1,0,0,0,1,0
5418,0,17,67,1,1,1,1,1,0,0,0
5644,0,56,105,0,0,1,0,1,0,0,0
1294,0,15,69,0,1,1,0,0,0,0,1
6081,0,23,76,0,0,1,0,0,0,0,1
5459,0,48,97,0,0,1,0,1,0,0,0
850,0,72,68,1,0,1,1,1,0,1,0
3020,0,1,71,0,0,1,0,0,1,0,0
2315,0,64,115,0,0,1,1,0,1,0,0
4982,0,71,24,0,0,1,1,1,1,0,0
6137,0,72,19,0,0,1,0,0,0,0,0
5137,0,44,62,1,1,1,1,1,0,0,0
5367,0,34,26,1,0,1,1,0,0,1,0
1674,0,1,80,0,0,1,1,0,0,1,1
892,0,69,26,0,0,1,1,1,0,0,0
3822,0,31,90,0,0,1,1,1,0,0,1
3732,0,10,91,0,1,1,1,0,0,1,0
5391,0,34,101,1,0,1,0,0,1,0,0
1179,1,29,45,0,0,0,1,1,0,0,0
2753,0,66,89,0,0,1,1,1,0,0,0
6555,0,4,45,1,1,1,0,0,1,0,0
1952,0,59,24,0,0,1,1,1,0,0,0
957,0,38,68,0,0,1,0,0,0,0,0
1853,0,40,19,0,0,1,0,0,0,0,0
4804,0,36,80,0,0,1,1,1,1,0,0
4850,0,70,90,0,0,1,0,1,1,0,0
2739,1,14,96,0,1,1,1,1,1,0,0
5319,0,24,50,1,0,1,1,1,0,1,0
5413,0,52,80,0,0,1,0,1,0,0,0
891,0,61,24,0,1,1,1,1,0,0,0
43,0,14,51,0,0,1,1,0,0,1,0
4631,0,72,105,1,0,1,1,1,0,0,0
2283,0,10,61,0,0,1,0,1,0,0,0
5212,0,1,20,1,0,1,0,0,0,1,1
5947,0,4,30,1,0,0,1,0,0,1,1
1068,0,30,51,0,1,0,1,1,0,0,1
4672,0,7,59,1,1,0,0,0,0,0,0
195,1,52,49,1,0,0,0,1,0,0,0
997,0,14,51,1,0,0,1,1,0,0,1
4484,0,31,79,1,0,1,0,1,0,0,0
1968,0,67,89,1,0,1,0,1,1,0,0
987,0,50,94,1,0,1,0,0,0,0,0
1946,0,3,75,0,0,1,1,1,0,0,0
2219,0,18,26,1,1,0,0,1,0,0,0
6393,0,1,76,1,0,1,1,1,0,0,1
5295,0,2,20,0,0,1,1,1,0,0,0
5031,0,50,35,1,0,0,0,1,0,0,0
6304,0,55,104,0,0,1,0,1,0,0,0
5824,0,72,101,1,0,1,1,0,0,1,0
3587,0,43,49,0,0,0,1,1,0,0,1
5784,0,46,94,0,0,1,0,1,0,0,0
3914,0,30,19,0,1,1,0,0,1,0,0
354,0,45,25,0,1,1,0,0,0,0,0
3956,0,6,80,1,0,1,1,1,0,0,1
1232,0,70,90,1,1,1,0,1,0,0,0
3175,0,4,90,0,1,1,0,1,0,0,1
570,1,50,25,0,0,1,0,0,0,1,0
3171,1,30,78,1,0,1,0,0,0,1,0
2942,0,46,20,1,0,1,0,0,0,1,0
6563,0,2,95,0,0,1,1,1,0,0,1
5665,0,42,45,1,1,0,0,0,0,0,0
5526,0,2,104,0,0,1,1,0,1,0,1
2705,0,4,87,0,1,1,1,0,0,1,1
2920,0,69,20,0,1,1,0,0,0,1,0
1688,0,23,84,0,1,1,0,0,0,1,0
824,0,3,35,0,0,0,1,0,0,1,1
596,0,58,60,0,0,1,0,0,0,1,0
1971,0,67,110,0,0,1,0,0,1,0,0
854,0,50,20,0,1,1,0,0,0,1,0
1776,0,1,51,1,0,1,1,0,0,1,1
6441,0,72,25,1,0,1,0,0,0,0,0
1897,0,7,95,1,0,1,0,0,0,0,1
4645,0,72,67,0,1,1,1,1,0,0,0
4227,1,6,84,1,0,1,0,0,0,1,1
180,0,4,79,0,0,1,0,0,0,0,1
1656,1,21,72,0,0,1,1,1,0,0,0
2264,0,9,24,1,0,0,1,1,0,1,1
1533,1,36,91,1,0,1,0,1,0,0,1
5501,0,14,59,0,1,1,0,0,0,0,0
3588,0,17,20,0,0,1,1,0,0,0,0
4074,0,53,110,0,0,1,1,1,0,0,0
840,0,9,20,1,1,1,1,1,1,0,0
132,0,21,104,1,1,1,0,0,0,1,1
6941,0,68,88,0,0,1,0,0,1,0,0
1684,1,21,42,0,0,0,1,0,0,0,1
2174,0,38,92,1,0,1,0,0,1,0,0
4032,1,50,70,1,0,1,1,1,0,0,0
679,1,40,104,0,0,1,1,1,0,0,0
6451,0,1,36,1,0,0,1,1,1,0,1
3934,0,62,39,1,0,0,0,0,1,0,0
5529,0,17,20,1,0,1,0,0,0,0,0
6586,0,22,21,0,1,1,1,0,0,1,0
5858,0,53,94,1,0,1,0,0,1,0,1
6552,0,15,56,0,0,1,0,1,0,0,0
3597,0,7,21,1,1,1,0,1,0,0,0
4246,0,9,69,1,0,1,1,1,0,1,0
2218,0,8,49,0,0,1,0,0,0,1,0
2198,0,7,69,1,0,1,1,0,1,0,1
973,0,15,100,0,0,1,0,0,0,0,0
5968,1,20,95,1,0,1,1,0,1,0,1
6951,0,35,85,0,0,1,0,0,0,1,1
6125,0,72,49,1,1,0,1,1,0,0,0
3646,1,11,60,1,0,1,0,1,1,0,0
3650,1,26,85,0,0,1,1,0,0,1,1
771,0,64,81,0,0,1,1,1,0,0,0
5187,0,3,69,1,0,1,1,1,0,0,1
2214,0,21,20,1,0,1,0,1,0,0,0
3014,0,72,24,0,1,1,1,1,0,0,0
5447,1,42,79,1,0,1,0,0,0,0,0
3738,0,72,25,0,0,1,0,0,0,0,0
3424,0,1,20,1,0,1,0,1,0,0,0
6178,0,1,20,0,0,1,0,0,0,1,0
6265,0,56,103,0,0,1,0,0,0,0,0
2422,0,66,60,0,1,1,0,1,0,0,0
297,1,66,111,1,0,1,1,1,0,0,1
224,0,53,20,1,0,1,0,0,1,0,0
1842,0,7,20,0,0,1,0,0,0,0,1
1989,1,3,76,1,0,1,0,0,0,1,1
5462,0,9,44,0,0,1,1,0,1,0,1
7027,0,49,50,1,0,0,0,0,0,0,0
2253,0,17,62,1,1,1,0,0,0,1,0
4406,0,2,80,0,0,1,1,0,0,0,1
5710,0,1,71,1,0,1,1,1,0,1,0
3147,0,68,54,0,0,1,0,1,0,0,0
4803,0,72,100,0,1,1,1,1,0,0,0
5255,0,11,80,1,0,1,1,1,0,0,1
6156,0,56,86,0,0,1,0,1,0,0,0
3926,0,22,105,1,0,1,0,0,0,0,0
4960,0,7,79,0,0,1,1,1,0,0,0
1476,0,1,55,0,0,1,0,0,0,0,1
3036,0,1,75,1,0,1,0,0,1,0,0
4546,0,72,116,0,1,1,1,1,0,0,0
955,0,62,91,1,0,1,0,0,0,0,0
4601,0,68,84,0,1,1,1,1,0,0,0
4756,0,62,20,1,0,1,0,0,0,0,0
717,0,72,110,0,0,1,1,1,0,0,0
781,0,21,100,0,0,1,0,0,0,0,0
1663,1,36,85,1,0,1,1,1,0,0,1
4198,0,71,77,1,1,1,1,0,0,1,0
2603,0,61,89,0,0,1,1,1,0,1,0
5302,0,9,88,1,0,1,0,0,0,0,0
106,0,66,69,1,0,1,1,1,1,0,0
1543,0,8,19,1,1,1,0,1,0,0,0
1578,0,28,92,0,0,1,0,0,0,0,1
3421,0,22,51,0,0,0,1,1,0,1,0
