,SeniorCitizen,tenure,MonthlyCharges,gender_1,Dependents_1,PhoneService_1,MultipleLines_1,InternetService_1,Contract_1,Contract_2
6767,0,0.9444444444444444,0.7326732673267327,0,0,1,0,0,0,0
5100,0,0.41666666666666663,0.3762376237623763,1,0,1,0,1,0,0
964,1,0.125,0.6534653465346534,1,0,1,0,0,0,0
5589,0,0.6388888888888888,0.5247524752475248,0,0,1,0,0,0,1
2415,0,0.027777777777777776,0.7128712871287128,1,1,1,1,1,0,0
6202,0,0.05555555555555555,0.31683168316831684,1,0,1,1,0,1,0
2263,0,0.013888888888888888,0.7425742574257426,1,1,1,0,1,0,0
5202,0,0.013888888888888888,0.0594059405940594,1,0,0,1,1,0,1
4450,0,0.09722222222222221,0.01980198019801982,0,0,1,1,0,0,0
5247,0,0.041666666666666664,0.613861386138614,1,0,1,1,1,0,0
6306,0,0.4444444444444444,0.16831683168316836,0,1,0,1,1,1,0
5244,0,0.25,0.7623762376237624,1,1,1,1,1,0,0
2316,0,0.05555555555555555,0.7029702970297029,0,0,1,0,0,0,0
2617,1,0.7638888888888888,0.31683168316831684,1,0,0,0,0,0,0
26,0,0.625,0.7029702970297029,0,0,1,1,1,0,0
3605,0,0.875,0.5346534653465347,1,0,1,0,0,0,0
63,1,1.0,0.8415841584158417,1,0,1,0,0,1,0
1044,1,0.986111111111111,0.7326732673267327,1,0,1,0,0,1,0
3660,0,1.0,0.8217821782178218,0,0,1,0,0,1,0
5360,0,0.9583333333333333,0.27722772277227725,0,1,0,1,1,0,0
2656,0,0.125,0.7128712871287128,1,1,1,0,0,1,0
1454,0,0.7916666666666666,0.3762376237623763,1,0,1,0,0,0,0
227,0,0.6805555555555555,0.4851485148514852,0,0,1,0,0,0,0
6984,0,0.013888888888888888,0.26732673267326734,1,0,1,0,0,0,0
3080,0,0.05555555555555555,0.32673267326732675,1,0,1,0,0,0,0
3317,0,0.05555555555555555,0.5346534653465347,1,0,1,0,0,1,0
5035,0,0.3055555555555555,0.396039603960396,1,1,1,0,1,0,0
3184,0,0.6666666666666666,0.01980198019801982,1,0,1,1,0,0,1
2833,0,0.7222222222222222,0.7722772277227723,1,0,1,0,0,0,1
3539,1,1.0,0.44554455445544555,1,0,0,0,0,0,0
969,0,0.3611111111111111,0.5643564356435644,1,0,1,1,1,0,0
4603,0,0.3194444444444444,0.01980198019801982,0,1,1,0,0,0,0
5751,1,0.6666666666666666,0.1188118811881188,0,1,0,0,0,0,1
2662,1,0.7083333333333333,0.5940594059405941,0,0,1,0,0,0,0
4094,0,0.9583333333333333,0.603960396039604,1,0,1,0,1,0,0
6034,0,0.027777777777777776,0.3663366336633664,1,0,1,0,0,1,0
3813,0,0.20833333333333331,0.01980198019801982,0,1,1,1,1,0,1
2387,0,0.6388888888888888,0.45544554455445546,0,0,1,1,1,0,0
4224,0,0.125,0.3663366336633664,1,1,1,0,0,0,1
6375,0,0.125,0.00990099009900991,1,0,1,0,1,0,0
3567,0,0.08333333333333333,0.32673267326732675,0,0,0,0,1,0,0
4148,0,0.027777777777777776,0.43564356435643564,1,0,1,0,0,0,0
2646,1,0.013888888888888888,0.7029702970297029,0,0,1,0,0,0,1
6626,0,0.7916666666666666,0.01980198019801982,0,1,1,0,1,0,0
252,0,0.19444444444444442,0.5742574257425743,1,1,1,0,0,0,0
5435,0,0.013888888888888888,0.5148514851485149,0,0,1,0,1,1,0
4554,1,0.041666666666666664,0.5643564356435644,0,0,1,0,1,0,0
3975,0,0.027777777777777776,0.5346534653465347,0,1,1,1,1,0,0
4847,0,0.2222222222222222,0.00990099009900991,1,0,1,1,1,0,0
5719,0,0.41666666666666663,0.7821782178217822,1,0,1,0,0,0,1
2818,0,0.027777777777777776,0.5148514851485149,1,0,1,0,1,0,0
1702,1,0.06944444444444445,0.613861386138614,1,0,1,1,1,0,0
4428,0,0.40277777777777773,0.6633663366336633,1,0,1,1,1,0,0
4808,0,0.013888888888888888,0.5544554455445545,0,0,1,0,0,0,1
3790,0,1.0,0.07920792079207922,1,1,1,0,0,1,0
5722,0,0.16666666666666666,0.06930693069306931,1,0,1,1,1,0,0
4041,0,0.125,0.01980198019801982,0,1,1,0,0,0,1
2094,0,0.4444444444444444,0.8514851485148516,0,0,1,0,0,0,0
2843,1,0.375,0.6534653465346534,0,0,1,0,0,0,1
641,0,0.09722222222222221,0.3069306930693069,0,1,1,0,0,0,0
6140,0,0.9305555555555555,0.01980198019801982,0,0,1,0,0,0,0
3882,0,0.125,0.5643564356435644,0,0,1,0,0,0,0
4405,0,0.2222222222222222,0.46534653465346537,0,0,1,0,1,0,0
297,1,0.9166666666666666,0.9207920792079209,1,0,1,1,1,0,0
303,0,0.3611111111111111,0.7326732673267327,1,0,1,0,0,0,1
2406,0,0.19444444444444442,0.6435643564356437,1,0,1,0,1,0,0
5816,0,0.05555555555555555,0.6732673267326732,1,0,1,0,0,0,0
3154,0,0.875,0.8613861386138615,1,1,1,0,1,0,0
1839,0,0.875,0.613861386138614,1,0,1,1,0,0,1
4384,1,0.06944444444444445,0.6237623762376239,0,0,1,0,1,0,0
4306,0,0.013888888888888888,0.31683168316831684,1,0,1,1,1,0,0
655,1,0.5694444444444444,0.8118811881188119,1,0,1,0,1,0,0
4139,1,0.1111111111111111,0.6237623762376239,1,0,1,1,1,0,0
4686,0,0.25,0.06930693069306931,0,1,1,1,1,0,1
4775,1,0.2777777777777778,0.6237623762376239,0,0,1,0,1,0,0
240,0,0.7638888888888888,0.5940594059405941,1,0,1,1,0,0,1
783,0,1.0,0.910891089108911,1,1,1,0,0,0,0
1354,0,0.75,0.5148514851485149,0,1,1,1,1,0,0
1018,0,0.041666666666666664,0.7920792079207921,0,0,1,0,0,0,0
4912,1,0.6388888888888888,0.8118811881188119,0,0,1,1,1,0,0
977,0,0.6388888888888888,0.01980198019801982,1,0,1,1,1,0,0
809,0,0.05555555555555555,0.7623762376237624,1,0,1,0,1,0,0
6755,0,0.013888888888888888,0.5544554455445545,0,0,1,1,1,0,0
5036,0,0.41666666666666663,0.00990099009900991,0,0,1,1,1,0,0
257,0,0.5694444444444444,0.4158415841584158,1,1,1,1,1,1,0
893,0,0.6805555555555555,0.01980198019801982,0,0,1,0,0,0,0
5936,0,0.3055555555555555,0.603960396039604,1,0,1,0,0,0,1
4366,1,1.0,0.9801980198019802,0,0,1,1,1,0,0
3589,0,0.09722222222222221,0.6831683168316831,1,0,1,1,0,0,0
5162,0,0.16666666666666666,0.00990099009900991,1,1,1,0,0,0,0
5229,0,0.8472222222222222,0.8514851485148516,0,0,1,1,1,1,0
5167,0,0.027777777777777776,0.26732673267326734,0,0,1,0,0,0,1
3288,1,0.18055555555555555,0.7821782178217822,0,0,1,0,0,0,1
6698,0,0.7222222222222222,0.0297029702970297,1,0,1,0,1,1,0
2132,0,0.027777777777777776,0.6237623762376239,0,0,1,0,0,1,0
6243,0,0.3055555555555555,0.3663366336633664,0,1,1,1,0,0,1
5520,0,0.18055555555555555,0.6534653465346534,0,0,1,1,1,1,0
1357,0,0.25,0.46534653465346537,0,1,1,1,1,0,0
1561,1,0.38888888888888884,0.45544554455445546,0,0,1,1,1,0,0
6054,1,0.7777777777777777,0.8613861386138615,1,1,1,1,1,0,0
2251,0,0.5694444444444444,0.16831683168316836,0,1,0,0,0,0,0
5474,0,0.15277777777777776,0.3564356435643565,0,0,1,1,1,0,0
2471,0,0.041666666666666664,0.801980198019802,1,0,1,1,1,0,0
3133,0,0.027777777777777776,0.613861386138614,1,0,1,0,0,1,0
2024,1,0.2638888888888889,0.15841584158415845,1,0,0,0,1,1,0
4687,0,0.375,0.0297029702970297,0,1,1,0,1,0,0
2986,0,1.0,0.910891089108911,0,1,1,0,1,0,1
2042,1,0.125,0.5643564356435644,0,0,1,1,0,0,0
4905,0,0.5972222222222222,0.4158415841584158,1,0,1,0,0,0,1
2876,0,0.1388888888888889,0.27722772277227725,1,0,1,0,0,1,0
2669,0,0.9583333333333333,0.910891089108911,1,0,1,1,1,0,0
4756,0,0.861111111111111,0.01980198019801982,1,0,1,0,0,0,0
5728,0,0.041666666666666664,0.5247524752475248,1,1,1,1,1,0,0
4098,0,1.0,0.6237623762376239,1,1,1,0,0,0,0
7018,0,0.7777777777777777,0.8613861386138615,1,0,1,0,1,0,0
3806,0,0.7916666666666666,0.20792079207920794,1,0,0,0,1,0,0
6842,0,0.375,0.27722772277227725,1,1,0,0,0,1,0
3475,0,0.09722222222222221,0.5247524752475248,0,0,1,0,0,1,0
1092,0,0.15277777777777776,0.1782178217821782,1,0,0,0,0,0,1
5867,0,0.027777777777777776,0.613861386138614,0,0,1,0,0,0,1
124,0,0.4583333333333333,0.26732673267326734,1,0,1,0,0,0,0
4152,0,0.06944444444444445,0.3069306930693069,0,1,1,1,0,0,1
6882,1,0.20833333333333331,0.613861386138614,1,0,1,1,1,1,0
4489,0,0.15277777777777776,0.06930693069306931,0,1,1,1,0,1,0
2922,0,0.3472222222222222,0.7029702970297029,0,1,1,0,1,0,0
2516,0,0.1111111111111111,0.6732673267326732,1,0,1,1,1,0,0
6038,0,0.041666666666666664,0.8217821782178218,1,0,1,1,1,0,1
1553,0,0.5,0.7821782178217822,0,1,1,0,1,0,0
3482,0,0.9444444444444444,0.07920792079207922,0,0,1,0,0,0,0
2886,0,0.08333333333333333,0.7029702970297029,0,0,1,0,1,0,0
598,0,0.06944444444444445,0.06930693069306931,1,0,0,1,1,1,0
75,0,0.16666666666666666,0.1782178217821782,1,1,0,1,1,1,0
1339,0,0.375,0.01980198019801982,0,0,1,1,1,0,0
1416,0,1.0,0.01980198019801982,1,1,1,0,0,0,1
4772,1,0.986111111111111,0.01980198019801982,1,1,1,0,0,1,0
1649,0,0.5694444444444444,0.06930693069306931,0,0,1,0,0,0,0
5652,0,0.2361111111111111,0.43564356435643564,0,1,1,0,0,0,0
3206,0,0.8055555555555555,0.5148514851485149,1,0,1,0,0,0,0
4024,0,0.6805555555555555,0.6831683168316831,0,1,1,0,0,0,0
2829,0,0.20833333333333331,0.6732673267326732,0,1,1,0,1,0,0
149,0,0.6666666666666666,0.01980198019801982,0,1,1,0,0,0,0
3001,0,0.75,0.01980198019801982,1,1,1,0,0,0,0
1557,0,0.9722222222222222,0.32673267326732675,1,0,0,1,0,0,0
3931,1,0.375,0.6237623762376239,1,0,1,0,0,0,0
453,0,0.013888888888888888,0.613861386138614,1,0,1,0,1,0,0
4427,0,0.8055555555555555,0.0297029702970297,1,0,1,0,1,0,1
1832,1,1.0,0.5940594059405941,0,0,1,0,0,0,0
3250,1,0.4861111111111111,0.7623762376237624,1,0,1,0,0,1,0
5663,0,0.4722222222222222,0.22772277227722776,1,1,0,1,1,0,0
808,0,1.0,0.3762376237623763,0,1,0,1,1,0,0
2002,0,0.75,0.01980198019801982,0,0,1,0,0,0,1
3353,0,0.08333333333333333,0.0297029702970297,1,0,1,0,1,0,0
3824,0,0.3472222222222222,0.6336633663366338,1,0,1,0,0,0,0
1671,0,0.6944444444444444,0.8415841584158417,0,1,1,0,1,1,0
1119,1,0.2777777777777778,0.801980198019802,1,0,1,0,0,0,1
4353,0,0.1111111111111111,0.613861386138614,0,0,1,0,1,0,0
810,0,0.09722222222222221,0.01980198019801982,0,0,1,1,1,1,0
1129,0,0.20833333333333331,0.00990099009900991,1,0,1,1,1,0,0
834,0,0.18055555555555555,0.13861386138613863,0,0,0,0,1,0,0
6124,0,0.5694444444444444,0.5643564356435644,1,1,1,0,0,1,0
5413,0,0.7222222222222222,0.613861386138614,0,0,1,0,1,0,0
6732,0,0.2777777777777778,0.01980198019801982,0,0,1,1,1,0,0
1971,0,0.9305555555555555,0.910891089108911,0,0,1,0,0,1,0
1235,0,0.5138888888888888,0.7227722772277227,1,0,1,1,1,1,0
1225,0,0.625,0.9306930693069309,1,0,1,0,0,0,0
4051,1,0.5972222222222222,0.7524752475247525,0,0,1,1,1,0,1
2344,0,0.7083333333333333,0.297029702970297,1,1,1,0,0,0,1
6227,0,0.5138888888888888,0.42574257425742573,1,1,1,0,0,0,0
4352,0,0.18055555555555555,0.1089108910891089,0,0,0,1,1,0,0
2273,0,0.013888888888888888,0.5148514851485149,1,0,1,0,0,1,0
1729,0,0.1388888888888889,0.01980198019801982,1,1,1,1,1,1,0
6785,0,0.20833333333333331,0.8415841584158417,1,0,1,1,1,0,1
2181,0,0.125,0.6237623762376239,0,0,1,1,0,1,0
1027,0,0.986111111111111,0.9702970297029703,1,1,1,1,1,1,0
3082,0,0.5,0.7623762376237624,1,0,1,1,0,1,0
5205,0,0.06944444444444445,0.8118811881188119,0,0,1,1,1,0,0
349,0,0.8888888888888888,0.7227722772277227,0,1,1,0,1,1,0
452,0,0.9583333333333333,0.8613861386138615,0,0,1,0,0,0,0
662,0,0.611111111111111,0.01980198019801982,1,1,1,0,0,0,0
172,0,0.625,0.07920792079207922,0,1,1,0,0,0,1
1405,0,0.7083333333333333,0.910891089108911,1,1,1,1,1,0,0
5857,1,0.6805555555555555,0.8415841584158417,0,0,1,1,1,0,0
4250,1,0.25,0.5643564356435644,0,0,1,1,1,1,0
4550,0,0.5972222222222222,0.5940594059405941,1,0,1,1,0,0,1
422,0,0.75,0.06930693069306931,0,1,1,1,1,1,0
3017,0,0.041666666666666664,0.0297029702970297,0,1,1,0,0,1,0
3326,0,0.3194444444444444,0.603960396039604,0,0,1,0,0,1,0
881,0,0.2361111111111111,0.26732673267326734,1,1,1,0,0,1,0
3450,0,0.736111111111111,0.01980198019801982,0,1,1,1,1,1,0
1253,0,0.9444444444444444,0.06930693069306931,1,1,1,0,1,0,0
6268,1,0.986111111111111,0.5445544554455446,1,1,1,0,0,1,0
6210,0,0.2777777777777778,0.07920792079207922,0,1,1,0,0,1,0
2225,0,0.5277777777777778,0.7623762376237624,1,0,1,0,0,1,0
4121,0,0.20833333333333331,0.5643564356435644,0,0,1,1,1,0,0
6563,0,0.027777777777777776,0.7623762376237624,0,0,1,1,1,0,0
1905,1,0.41666666666666663,0.613861386138614,1,0,1,1,0,1,0
102,0,0.4305555555555555,0.0297029702970297,0,0,1,1,1,1,0
3014,0,1.0,0.0594059405940594,0,1,1,1,1,0,0
4301,0,0.041666666666666664,0.16831683168316836,0,0,0,0,0,0,1
6678,0,1.0,0.0297029702970297,1,1,1,0,0,0,1
4269,0,0.013888888888888888,0.01980198019801982,1,1,1,1,1,0,0
2447,0,0.2777777777777778,0.06930693069306931,0,0,0,0,1,0,0
1580,0,0.9722222222222222,0.9504950495049507,0,1,1,1,0,1,0
3803,1,0.4722222222222222,0.7128712871287128,1,0,1,1,1,0,1
3481,0,0.5694444444444444,0.5148514851485149,0,0,1,1,0,0,0
4871,0,0.611111111111111,0.3762376237623763,0,1,1,0,0,1,0
3877,0,0.5972222222222222,0.4752475247524753,1,0,1,0,0,1,0
5192,0,0.9444444444444444,0.5841584158415842,1,0,1,0,0,0,1
135,0,0.7777777777777777,0.7128712871287128,1,0,1,1,0,0,1
2521,0,0.041666666666666664,0.01980198019801982,0,0,1,1,1,0,0
4151,1,0.3472222222222222,0.7029702970297029,1,0,1,0,0,0,0
1918,0,0.4722222222222222,0.7920792079207921,0,0,1,0,0,0,0
6332,0,0.861111111111111,0.0594059405940594,1,0,1,0,1,0,1
4697,0,0.041666666666666664,0.5742574257425743,0,0,1,0,1,0,0
4750,1,0.3611111111111111,0.7623762376237624,0,0,1,0,0,1,0
2666,1,0.9027777777777777,0.7425742574257426,1,0,1,0,0,0,1
5110,1,0.041666666666666664,0.6831683168316831,0,0,1,1,1,0,0
2925,0,0.9444444444444444,0.8316831683168318,1,0,1,0,1,1,0
3066,0,0.9305555555555555,0.8514851485148516,1,0,1,1,1,0,0
1789,0,0.41666666666666663,0.7524752475247525,0,0,1,0,0,0,0
5288,0,0.013888888888888888,0.5643564356435644,1,0,1,0,1,0,0
807,0,1.0,0.6237623762376239,1,1,1,1,1,0,1
462,0,0.986111111111111,0.9207920792079209,0,0,1,1,1,0,0
879,1,1.0,0.8514851485148516,1,0,1,1,0,0,0
3248,0,0.8055555555555555,0.7425742574257426,0,1,1,1,1,0,0
4726,0,0.375,0.01980198019801982,1,0,1,0,0,0,1
5680,0,0.75,0.01980198019801982,0,1,1,0,0,0,0
6790,0,0.1388888888888889,0.01980198019801982,1,0,1,1,0,0,1
4377,0,0.875,0.6633663366336633,1,0,1,0,1,0,0
799,1,0.5277777777777778,0.01980198019801982,0,0,1,1,1,1,0
354,0,0.625,0.06930693069306931,0,1,1,0,0,0,0
3964,1,0.09722222222222221,0.5643564356435644,1,0,1,1,1,0,1
1073,0,0.013888888888888888,0.5544554455445545,1,0,1,1,1,0,0
3101,1,0.027777777777777776,0.7524752475247525,1,0,1,1,1,0,0
5594,0,0.75,0.3663366336633664,1,1,1,1,1,0,0
144,0,0.75,0.01980198019801982,0,0,1,1,0,0,1
380,1,0.06944444444444445,0.504950495049505,0,0,1,0,1,1,0
1340,0,0.736111111111111,0.7425742574257426,0,0,1,0,0,0,1
4168,0,0.7222222222222222,0.25742574257425743,1,1,0,0,0,0,1
6510,0,0.7083333333333333,0.1188118811881188,1,0,0,1,1,0,1
121,0,0.7916666666666666,0.46534653465346537,0,1,1,0,0,0,0
3745,0,0.18055555555555555,0.34653465346534656,0,1,1,0,1,0,0
3612,0,0.9444444444444444,0.7128712871287128,0,0,1,1,1,0,0
1360,0,0.375,0.01980198019801982,0,1,1,1,1,0,0
418,1,0.027777777777777776,0.7029702970297029,0,0,1,0,1,0,0
6348,0,0.5277777777777778,0.5148514851485149,1,0,1,0,1,0,0
5546,0,0.375,0.3861386138613862,0,0,1,0,0,0,0
1514,0,0.041666666666666664,0.01980198019801982,0,0,1,0,0,0,1
4184,0,0.3333333333333333,0.31683168316831684,1,0,1,1,1,0,0
5455,1,0.125,0.801980198019802,1,0,1,0,0,0,0
3100,0,0.9583333333333333,0.801980198019802,1,1,1,1,1,0,0
2063,0,0.5833333333333333,0.6732673267326732,0,0,1,0,0,1,0
555,0,0.4444444444444444,0.603960396039604,1,0,1,1,0,1,0
2312,0,0.6944444444444444,0.7722772277227723,0,0,1,0,0,1,0
3543,0,0.08333333333333333,0.3762376237623763,0,1,1,1,1,0,1
5440,0,0.027777777777777776,0.3663366336633664,1,1,1,0,0,0,0
1485,0,0.041666666666666664,0.16831683168316836,1,0,0,1,1,0,0
5017,0,0.4861111111111111,0.3663366336633664,1,0,1,0,0,1,0
1272,1,0.861111111111111,0.6534653465346534,0,0,1,0,0,0,0
6598,0,0.875,0.22772277227722776,1,1,0,0,0,0,1
1411,0,0.013888888888888888,0.04950495049504952,1,0,0,0,1,0,0
5076,0,0.3194444444444444,0.7128712871287128,0,0,1,0,1,1,0
6915,0,0.4861111111111111,0.42574257425742573,1,0,1,1,1,0,1
1471,0,0.1111111111111111,0.3564356435643565,0,0,1,1,1,0,0
2266,0,0.8333333333333333,0.00990099009900991,0,1,1,0,1,1,0
5503,0,0.736111111111111,0.0297029702970297,0,1,1,0,0,1,0
5077,0,0.29166666666666663,0.7524752475247525,0,0,1,0,0,0,1
5635,0,0.736111111111111,0.8712871287128714,0,0,1,0,0,0,0
4154,1,0.4583333333333333,0.6237623762376239,0,0,1,1,1,0,0
6679,0,0.15277777777777776,0.5742574257425743,0,0,1,0,0,0,1
3165,0,0.41666666666666663,0.3663366336633664,0,0,1,0,0,1,0
2436,1,0.29166666666666663,0.7524752475247525,0,0,1,0,1,0,0
2868,0,0.9305555555555555,0.06930693069306931,1,1,1,0,1,0,0
6612,0,0.15277777777777776,0.21782178217821785,0,0,0,0,1,0,0
981,0,0.013888888888888888,0.3069306930693069,1,0,1,0,0,0,1
5974,0,0.1111111111111111,0.8118811881188119,0,0,1,0,0,0,0
6063,0,0.9166666666666666,0.07920792079207922,1,1,1,0,0,0,1
3246,1,0.7222222222222222,0.3069306930693069,1,0,0,0,0,0,0
6207,0,0.1388888888888889,0.5643564356435644,1,0,1,0,1,0,0
1268,1,0.5555555555555556,0.801980198019802,0,0,1,1,1,1,0
414,1,0.625,0.6732673267326732,0,0,1,0,1,0,0
268,1,0.736111111111111,0.7821782178217822,0,0,1,0,0,0,1
3127,0,0.6944444444444444,0.5742574257425743,1,1,1,0,0,0,0
654,0,0.013888888888888888,0.01980198019801982,1,1,1,0,0,0,0
3011,0,0.08333333333333333,0.8613861386138615,0,0,1,0,0,0,1
6394,1,0.013888888888888888,0.3762376237623763,0,0,1,0,0,1,0
2223,0,0.41666666666666663,0.8118811881188119,0,0,1,1,1,0,0
6989,1,0.013888888888888888,0.5247524752475248,0,1,1,1,0,1,0
2337,0,0.7916666666666666,0.9009900990099011,0,0,1,1,1,1,0
3541,1,0.18055555555555555,0.6336633663366338,0,0,1,0,0,0,0
773,0,0.06944444444444445,0.7722772277227723,1,0,1,0,1,0,0
2446,0,0.25,0.5742574257425743,1,0,1,1,1,0,0
589,0,0.4722222222222222,0.6831683168316831,0,1,1,1,0,0,1
2907,0,0.3055555555555555,0.25742574257425743,1,0,0,0,1,0,0
2127,0,1.0,0.7326732673267327,1,0,1,0,0,1,0
2996,0,0.3333333333333333,0.0297029702970297,1,1,1,1,0,0,0
3896,0,0.9583333333333333,0.07920792079207922,1,1,1,0,0,1,0
3038,0,0.05555555555555555,0.613861386138614,0,0,1,1,1,1,0
6441,0,1.0,0.06930693069306931,1,0,1,0,0,0,0
2465,0,0.4861111111111111,0.01980198019801982,1,1,1,0,0,0,0
3377,0,1.0,0.9702970297029703,1,0,1,1,0,0,1
701,0,0.2361111111111111,0.7524752475247525,0,0,1,1,1,0,0
5845,0,0.7083333333333333,0.7722772277227723,1,0,1,1,1,0,0
2301,0,0.2777777777777778,0.45544554455445546,1,0,1,1,1,0,0
5121,0,0.7916666666666666,0.00990099009900991,1,1,1,1,0,1,0
677,0,0.027777777777777776,0.01980198019801982,0,0,1,0,0,0,0
6062,0,0.25,0.0594059405940594,1,0,1,0,1,0,0
6607,0,0.013888888888888888,0.01980198019801982,1,0,1,0,0,0,0
2598,0,0.7222222222222222,0.21782178217821785,1,0,0,0,1,0,0
2345,0,0.013888888888888888,0.32673267326732675,1,0,1,0,0,0,0
4093,0,0.09722222222222221,0.5544554455445545,1,0,1,1,1,0,0
693,1,0.5416666666666666,0.7227722772277227,1,0,1,1,1,0,0
1513,0,0.5972222222222222,0.3762376237623763,0,1,1,0,0,0,0
6067,0,0.3055555555555555,0.6831683168316831,1,0,1,0,0,1,0
6105,0,0.013888888888888888,0.0297029702970297,1,0,1,1,1,1,0
6189,0,0.6666666666666666,0.8910891089108912,1,0,1,1,0,0,1
110,0,0.1388888888888889,0.6633663366336633,0,0,1,1,1,0,0
3852,0,0.16666666666666666,0.01980198019801982,0,0,1,0,0,0,0
6474,0,0.736111111111111,0.8811881188118813,0,0,1,0,0,0,1
6270,0,0.5555555555555556,0.6633663366336633,1,0,1,0,0,0,1
2131,0,0.3333333333333333,0.01980198019801982,0,1,1,0,0,0,1
4085,0,0.3472222222222222,0.08910891089108913,0,0,1,0,0,1,0
1919,0,1.0,0.7227722772277227,0,0,1,0,0,0,0
856,0,0.16666666666666666,0.5544554455445545,1,0,1,1,0,0,1
3408,0,0.6666666666666666,0.07920792079207922,1,1,1,0,0,0,0
5950,0,0.8333333333333333,0.9801980198019802,1,0,1,0,0,0,0
6554,0,0.5833333333333333,0.01980198019801982,0,0,1,0,1,0,0
2510,0,0.20833333333333331,0.6534653465346534,0,0,1,1,1,0,0
6897,0,0.875,0.8910891089108912,0,0,1,0,0,0,0
4169,0,0.041666666666666664,0.21782178217821785,1,0,0,0,1,0,0
4392,0,0.041666666666666664,0.31683168316831684,1,1,1,0,0,0,0
1758,0,0.40277777777777773,0.5247524752475248,1,0,1,0,0,0,1
3337,0,0.986111111111111,0.4752475247524753,1,1,1,1,1,0,0
3203,0,0.013888888888888888,0.01980198019801982,0,0,1,1,0,0,1
605,0,0.7222222222222222,0.6633663366336633,1,0,1,1,0,0,1
6986,0,0.19444444444444442,0.4158415841584158,0,1,1,1,1,0,0
3034,0,0.7916666666666666,0.0297029702970297,1,0,1,1,1,0,0
6691,0,0.6527777777777778,0.00990099009900991,0,1,1,0,0,1,0
1468,0,0.6527777777777778,0.801980198019802,1,1,1,1,1,1,0
5178,0,0.5,0.00990099009900991,1,0,1,1,1,1,0
2812,0,0.4305555555555555,0.7029702970297029,1,1,1,1,1,1,0
6171,0,0.986111111111111,0.396039603960396,0,0,0,1,1,0,0
